odd_residue_mod_2^k,phi,v2(3r+1),succ_residue,check_w_blur+delta+phi(succ)-phi(res)
1957,-4.691692188343,4,367,-0.000001000000
1959,4.679201138359,1,2939,-0.000001000000
1961,5.983765080443,2,1471,-0.000001000000
1963,-2.206721313978,1,2945,-0.000001000000
1965,2.763220434752,3,737,-0.000001000000
1967,-0.699392705552,1,2951,-0.000001000000
1969,-6.646976720221,2,1477,-0.000001000000
1971,-6.646976720221,1,2957,-0.000001000000
1973,-4.691692188343,5,185,-0.000001000000
1975,-5.669334454282,1,2963,-0.000001000000
1977,2.763220434752,2,1483,-0.000001000000
1979,2.763220434752,1,2969,-0.000001000000
1981,-0.699392705552,3,743,-0.000001000000
1983,4.231245214908,1,2975,-0.000001000000
1985,-4.691692188343,2,1489,-0.000001000000
1987,-1.229079048040,1,2981,-0.000001000000
1989,-6.646976720221,4,373,-0.000001000000
1991,-4.691692188343,1,2987,-0.000001000000
1993,-4.691692188343,2,1495,-0.000001000000
1995,-4.691692188343,1,2993,-0.000001000000
1997,-4.691692188343,3,749,-0.000001000000
1999,-4.691692188343,1,2999,-0.000001000000
2001,-4.691692188343,2,1501,-0.000001000000
2003,2.763220434752,1,3005,-0.000001000000
2005,0.278249560387,7,47,-0.000001000000
2007,-5.139648111794,1,3011,-0.000001000000
2009,-6.646976720221,2,1507,-0.000001000000
2011,-5.139648111794,1,3017,-0.000001000000
2013,-3.184363579917,3,755,-0.000001000000
2015,-0.738696533822,1,3023,-0.000001000000
2017,-3.184363579917,2,1513,-0.000001000000
2019,0.278249560387,1,3029,-0.000001000000
2021,-3.714049922404,4,379,-0.000001000000
2023,3.740862700690,1,3035,-0.000001000000
2025,-1.389417123616,2,1519,-0.000001000000
2027,3.740862700690,1,3041,-0.000001000000
2029,-5.669334454282,3,761,-0.000001000000
2031,-2.857441903772,1,3047,-0.000001000000
2033,0.278249560387,2,1525,-0.000001000000
2035,3.740862700690,1,3053,-0.000001000000
2037,-4.691692188343,5,191,-0.000001000000
2039,-3.714049922404,1,3059,-0.000001000000
2041,-3.714049922404,2,1531,-0.000001000000
2043,-1.716338799761,1,3065,-0.000001000000
2045,-1.919103466103,3,767,-0.000001000000
2047,0.647597827298,1,3071,-0.000001000000
2049,3.740862700690,2,1537,-0.000001000000
2051,-5.669334454282,1,3077,-0.000001000000
2053,-5.669334454282,4,385,-0.000001000000
2055,-5.669334454282,1,3083,-0.000001000000
2057,0.278249560387,2,1543,-0.000001000000
2059,-5.669334454282,1,3089,-0.000001000000
2061,1.255891826325,3,773,-0.000001000000
2063,-5.669334454282,1,3095,-0.000001000000
2065,1.255891826325,2,1549,-0.000001000000
2067,3.740862700690,1,3101,-0.000001000000
